desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel,noticeComment,,,,
445478000000000,http://www.animal.go.kr/files/shelter/2022/08/202208201308257_s.jpg,2022-08-18,아산면,[개] 믹스견,흰색,2022(년생),3(Kg),전북-고창-2022-00246,2022-08-20,2022-09-13,http://www.animal.go.kr/files/shelter/2022/08/202208201308257.jpg,보호중,M,N,3개월령,더나은동물병원보호소,063-560-2629,전라북도 고창군 무장면 신촌농장길 98,전라북도 고창군,송효주,063-560-2629,,,,,
445478000000000,http://www.animal.go.kr/files/shelter/2022/08/202208201308849_s.jpg,2022-08-18,아산면,[개] 믹스견,흰색,2022(년생),3(Kg),전북-고창-2022-00245,2022-08-20,2022-09-13,http://www.animal.go.kr/files/shelter/2022/08/202208201308849.jpg,보호중,F,N,3개월령,더나은동물병원보호소,063-560-2629,전라북도 고창군 무장면 신촌농장길 98,전라북도 고창군,송효주,063-560-2629,,,,,
445478000000000,http://www.animal.go.kr/files/shelter/2022/08/202208201308906_s.jpg,2022-08-18,아산면,[개] 믹스견,흰색,2022(년생),3(Kg),전북-고창-2022-00244,2022-08-20,2022-09-13,http://www.animal.go.kr/files/shelter/2022/08/202208201308906.jpg,보호중,M,N,3개월령,더나은동물병원보호소,063-560-2629,전라북도 고창군 무장면 신촌농장길 98,전라북도 고창군,송효주,063-560-2629,,,,,
445478000000000,http://www.animal.go.kr/files/shelter/2022/08/202208201308825_s.jpg,2022-08-18,아산면,[개] 믹스견,흰색,2022(년생),3(Kg),전북-고창-2022-00243,2022-08-20,2022-09-13,http://www.animal.go.kr/files/shelter/2022/08/202208201308825.jpg,보호중,F,N,3개월령,더나은동물병원보호소,063-560-2629,전라북도 고창군 무장면 신촌농장길 98,전라북도 고창군,송효주,063-560-2629,,,,,
442420000000000,http://www.animal.go.kr/files/shelter/2022/08/202208200008750_s.jpg,2022-08-18,구정면 말미길 가정집앞,[개] 믹스견,흰색,2022(년생),1.2(Kg),강원-강릉-2022-00475,2022-08-20,2022-08-30,http://www.animal.go.kr/files/shelter/2022/08/202208200008750.jpg,보호중,F,N,2개월추정,강릉시 동물사랑센터,033-641-7515,강원도 강릉시 성산면 내맬길 172,강원도 강릉시,동물정책과,033-640-5587,,,,,
442420000000000,http://www.animal.go.kr/files/shelter/2022/08/202208200008678_s.jpg,2022-08-18,구정면 말미길 가정집앞,[개] 믹스견,흰색,2022(년생),1.2(Kg),강원-강릉-2022-00474,2022-08-20,2022-08-30,http://www.animal.go.kr/files/shelter/2022/08/202208200008678.jpg,보호중,M,N,2개월추정,강릉시 동물사랑센터,033-641-7515,강원도 강릉시 성산면 내맬길 172,강원도 강릉시,동물정책과,033-640-5587,,,,,
431373000000000,http://www.animal.go.kr/files/shelter/2022/08/202208201208196_s.jpg,2022-08-18,용산길31,[고양이] 한국 고양이,고등어무늬,2022(년생),0.6(Kg),울산-울주-2022-00588,2022-08-20,2022-08-30,http://www.animal.go.kr/files/shelter/2022/08/202208201208196.jpg,보호중,Q,N,허약,울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 발리 1144,울산광역시 울주군,김은지,052-204-1635,,,,,
426334000000000,http://www.animal.go.kr/files/shelter/2022/08/202208190908848_s.jpg,2022-08-18,"암남공원로521번길 12, 우림아파트",[개] 믹스견,흰색,2014(년생),7.2(Kg),부산-사하-2022-00358,2022-08-20,2022-08-30,http://www.animal.go.kr/files/shelter/2022/08/202208190908848.jpg,보호중,M,U,백내장,(사)하얀비둘기,051-293-9779,부산광역시 강서구 제도로 726 (강동동),부산광역시 사하구,박혜영,051-220-4477,,,,,
450650000000000,http://www.animal.go.kr/files/shelter/2022/08/202208190908605_s.jpg,2022-08-18,제주시 조천읍 조천읍사무소,[고양이] 한국 고양이,갈흰,2022(년생),0.5(Kg),제주-제주-2022-03026,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208190908605.jpg,보호중,F,N,"개체관리번호 22504 - 2개월/기력없음,목교상,눈이상",제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,,,,,
450650000000000,http://www.animal.go.kr/files/shelter/2022/08/202208190908973_s.jpg,2022-08-18,제주시 이도이동 신설로2길5-14,[고양이] 샴,진갈색,2020(년생),3.2(Kg),제주-제주-2022-03025,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208190908973.jpg,보호중,M,N,개체관리번호 22503 - 경계심,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,,,,,
