desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel,noticeComment
411306000000000,http://www.animal.go.kr/files/shelter/2022/08/202208101608475_s.jpg,2022-08-09,중랑구 신내로 225 인근,[개] 믹스견,갈/흰,2020(년생),20(Kg),서울-중랑-2022-00119,2022-08-10,2022-08-30,http://www.animal.go.kr/files/shelter/2022/08/202208101608475.jpg,종료(반환),M,N,초록바탕 빨간줄목걸이/신발끈 묶임. 양귀처짐. 코검정. 사람따름. 꼬리단미안됨. 털상태 양호.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37,서울특별시 중랑구,김가희,02-2094-0753,
411303000000000,http://www.animal.go.kr/files/shelter/2022/08/202208101608669_s.jpg,2022-08-09,금호동2가 산 9-3 응봉근린공원 인근,[고양이] 샴,검/흰,2020(년생),5(Kg),서울-성동-2022-00106,2022-08-10,2022-08-22,http://www.animal.go.kr/files/shelter/2022/08/202208101608669.jpg,보호중,F,U,눈곱. 콧물. 하악질함/경계. 털때탐.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면),서울특별시 성동구,,02-2286-5465,
411303000000000,http://www.animal.go.kr/files/shelter/2022/08/202208101608657_s.jpg,2022-08-09,금호동2가 산 9-3 응봉근린공원 인근,[고양이] 한국 고양이,검,2020(년생),7(Kg),서울-성동-2022-00105,2022-08-10,2022-08-22,http://www.animal.go.kr/files/shelter/2022/08/202208101608657.jpg,보호중,M,Y,눈곱. 콧물. 하악질/경계/직접적인공격은없음. 털때탐. 꼬리조금 짧은편.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면),서울특별시 성동구,,02-2286-5465,
411303000000000,http://www.animal.go.kr/files/shelter/2022/08/202208101608901_s.jpg,2022-08-09,용답동 247-2 중랑물재생센터 인근,[개] 믹스견,흰,2017(년생),6.7(Kg),서울-성동-2022-00104,2022-08-10,2022-08-22,http://www.animal.go.kr/files/shelter/2022/08/202208101608901.jpg,보호중,F,U,양귀쫑긋. 코갈색. 겁있음/소심. 꼬리단미안됨. 털상태 양호.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면),서울특별시 성동구,,02-2286-5465,
411303000000000,http://www.animal.go.kr/files/shelter/2022/08/202208101608918_s.jpg,2022-08-09,용답동 247-2 중랑물재생센터 인근,[개] 믹스견,갈/흰,2020(년생),4(Kg),서울-성동-2022-00103,2022-08-10,2022-08-22,http://www.animal.go.kr/files/shelter/2022/08/202208101608918.jpg,보호중,F,U,양귀 반 처짐. 코갈색. 겁있음/소심. 꼬리단미안됨. 털상태 양호.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면),서울특별시 성동구,,02-2286-5465,
411303000000000,http://www.animal.go.kr/files/shelter/2022/08/202208101608718_s.jpg,2022-08-09,옥수동 옥수파출소 맞은편,[고양이] 한국 고양이,검/흰,2022(년생),0.5(Kg),서울-성동-2022-00102,2022-08-10,2022-08-22,http://www.animal.go.kr/files/shelter/2022/08/202208101608718.jpg,보호중,M,N,눈곱. 콧물. 코검정+분홍. 털때탐.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면),서울특별시 성동구,,02-2286-5465,
411302000000000,http://www.animal.go.kr/files/shelter/2022/07/202208091308374_s.jpg,2022-08-09,이촌동 이촌아파트 지하주차장,[고양이] 한국 고양이,White & Black,2022(년생),1.2(Kg),서울-용산-2022-00146,2022-08-10,2022-08-22,http://www.animal.go.kr/files/shelter/2022/07/202208091308374.jpg,보호중,Q,N,ear mite,이상윤동물병원,02-792-5455,서울특별시 용산구 이촌동 300-23,서울특별시 용산구,안지영,02-2199-8054,
411301000000000,http://www.animal.go.kr/files/shelter/2022/08/202208101608572_s.jpg,2022-08-09,다산로 239 인근,[고양이] 한국 고양이,갈줄/흰,2022(년생),1.7(Kg),서울-중구-2022-00060,2022-08-10,2022-08-22,http://www.animal.go.kr/files/shelter/2022/08/202208101608572.jpg,종료(자연사),M,N,눈곱. 콧물. 코분홍/비강출혈. 온몸 젖음. 꼬리단미안됨. 털때탐.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면),서울특별시 중구,중구,02-3396-5073,
411300000000000,http://www.animal.go.kr/files/shelter/2022/08/202208101608762_s.jpg,2022-08-09,비봉4길 213 승가사 일대,[개] 믹스견,갈/흰,2022(년생),4.3(Kg),서울-종로-2022-00111,2022-08-10,2022-08-22,http://www.animal.go.kr/files/shelter/2022/08/202208101608762.jpg,보호중,F,U,양귀쫑긋. 코갈색. 겁있음/소심. 꼬리단미안됨. 털상태 양호.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면),서울특별시 종로구,강대봉,02-2148-2265,
411300000000000,http://www.animal.go.kr/files/shelter/2022/08/202208101608801_s.jpg,2022-08-09,비봉4길 213 승가사 일대,[개] 믹스견,갈/흰,2022(년생),4.5(Kg),서울-종로-2022-00110,2022-08-10,2022-08-22,http://www.animal.go.kr/files/shelter/2022/08/202208101608801.jpg,보호중,M,N,양귀쫑긋. 눈물자국. 코갈색. 겁있음/소심. 꼬리단미안됨. 털상태 양호.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면),서울특별시 종로구,강대봉,02-2148-2265,
