desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeSdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel
441405202201988,http://www.animal.go.kr/files/shelter/2022/07/202208011408211_s.jpg,2022-08-01,기흥구 동백8로 126 모아미래도 2단지,[고양이] 한국 고양이,치즈,2022(년생),0.16(Kg),경기-용인-2022-00441,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011408211.jpg,종료(기증),M,N,"2~3주령 추정, 수유가 필요한 아이",용인시 동물보호센터,031-324-3463,경기도 용인시 처인구 중부대로 1074-1 (삼가동) 용인시 동물보호센터,경기도 용인시,동물보호과,031-324-3463
441405202201987,http://www.animal.go.kr/files/shelter/2022/07/202208011408768_s.jpg,2022-08-01,기흥구 동백8로 126 모아미래도 2단지,[고양이] 한국 고양이,치즈,2022(년생),0.17(Kg),경기-용인-2022-00440,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011408768.jpg,종료(기증),M,N,"2~3주령 추정, 수유가 필요한 아이",용인시 동물보호센터,031-324-3463,경기도 용인시 처인구 중부대로 1074-1 (삼가동) 용인시 동물보호센터,경기도 용인시,동물보호과,031-324-3463
441405202201986,http://www.animal.go.kr/files/shelter/2022/07/202208011408614_s.jpg,2022-08-01,기흥구 동백8로 126 모아미래도 2단지,[고양이] 한국 고양이,치즈,2022(년생),0.2(Kg),경기-용인-2022-00439,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011408614.jpg,종료(기증),M,N,"2~3주령 추정, 수유가 필요한 아이",용인시 동물보호센터,031-324-3463,경기도 용인시 처인구 중부대로 1074-1 (삼가동) 용인시 동물보호센터,경기도 용인시,동물보호과,031-324-3463
441405202201985,http://www.animal.go.kr/files/shelter/2022/07/202208011308417_s.jpg,2022-08-01,처인구 남사읍 각궁로 252-76,[개] 믹스견,갈색,2022(년생),2.2(Kg),경기-용인-2022-00438,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011308417.jpg,종료(입양),F,N,"2개월령 추정, 약간 소심하지만 귀여운 아이",용인시 동물보호센터,031-324-3463,경기도 용인시 처인구 중부대로 1074-1 (삼가동) 용인시 동물보호센터,경기도 용인시,동물보호과,031-324-3463
441403202200313,http://www.animal.go.kr/files/shelter/2022/07/202208021208861_s.jpg,2022-08-01,포일동510-7부근,[고양이] 한국 고양이,흑백,2022(년생),0.5(Kg),경기-의왕-2022-00096,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208021208861.jpg,종료(자연사),F,U,"안질환,순함",한국야생동물보호관리,031-296-0124,경기도 안산시 상록구 장상동 75-6,경기도 의왕시,의왕시청,031-345-2383
441402202200366,http://www.animal.go.kr/files/shelter/2022/07/202208021308210_s.jpg,2022-08-01,군포시청에서 인수,[개] 믹스견,갈백,2019(년생),4(Kg),경기-군포-2022-00181,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208021308210.jpg,종료(반환),M,U,빨간목줄,한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동),경기도 군포시,군포시 동물보호담당,031-390-0311
441401202200943,http://www.animal.go.kr/files/shelter/2022/07/202208011808749_s.jpg,2022-08-01,군자동 634-2,[개] 믹스견,아이보리,2021(년생),7(Kg),경기-시흥-2022-00458,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011808749.jpg,보호중,F,U,"겁이 많고 매우 말랐음, 사람에게 호의적인 편",시흥동물누리보호센터,031-310-6943,경기도 시흥시 뒷방울길 218 (정왕동),경기도 시흥시,최아름,031-310-2247
441401202200942,http://www.animal.go.kr/files/shelter/2022/07/202208011808685_s.jpg,2022-08-01,만해로 43,[개] 말티즈,흰색,2007(년생),1.8(Kg),경기-시흥-2022-00457,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011808685.jpg,보호중,F,U,"눈곱이 많이 낀 상태로 입소, 오른쪽 치아가 불편해보임, 겁이 많음",시흥동물누리보호센터,031-310-6943,경기도 시흥시 뒷방울길 218 (정왕동),경기도 시흥시,최아름,031-310-2247
441401202200941,http://www.animal.go.kr/files/shelter/2022/08/202208182108469_s.jpg,2022-08-01,뒷방울길 80,[개] 말티즈,흰색,2010(년생),5.2(Kg),경기-시흥-2022-00456,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/08/202208182108469.png,보호중,F,N,"작은 얼굴에 비해 많이 통통함, 맹한 표정이 귀여움, 빨빨거리면서 잘 돌아다님",시흥동물누리보호센터,031-310-6943,경기도 시흥시 뒷방울길 218 (정왕동),경기도 시흥시,최아름,031-310-2247
441401202200940,http://www.animal.go.kr/files/shelter/2022/07/202208011808785_s.jpg,2022-08-01,거모동 1768-5,[개] 스피츠,흰색,2015(년생),7(Kg),경기-시흥-2022-00455,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011808785.jpg,종료(반환),M,N,입질있음. 터치에 대해 민감하게 반응,시흥동물누리보호센터,031-310-6943,경기도 시흥시 뒷방울길 218 (정왕동),경기도 시흥시,최아름,031-310-2247
